h,l,s2,s2_err,type
1.4000000000000008,6,0.17232220967610676,0.001728113665615407,interpolated
1.4000000000000008,7,0.17318719228108723,0.0014309985284865598,interpolated
1.4000000000000008,8,0.17113059361775715,0.0014152486647591041,interpolated
1.4500000000000008,1,0.12642717361450195,0.0012294436163968277,interpolated
1.4500000000000008,2,0.14918508529663085,0.0018064345174017892,interpolated
1.4500000000000008,3,0.1583730379740397,0.0016477211302475241,interpolated
1.4500000000000008,4,0.1529875119527181,0.0017882186331190765,interpolated
1.4500000000000008,5,0.15572834014892578,0.0020309501704441936,interpolated
1.4500000000000008,6,0.159719975789388,0.0018587471629382933,interpolated
1.4500000000000008,7,0.15742937723795572,0.002123973946982386,interpolated
1.4500000000000008,8,0.15588614145914714,0.0012257652631254034,interpolated
1.5,1,0.11980457305908203,0.0017533412274213184,support
1.5,2,0.1427653948465983,0.0018741363401183003,support
1.5,3,0.14837932586669922,0.0015339046696968733,support
1.5,4,0.1428762435913086,0.0016234372339561335,support
1.5,5,0.14544858932495117,0.001799088638630999,support
1.5,6,0.14994891484578451,0.0016108971647415696,support
1.5,7,0.14741954803466797,0.0015723708828187062,support
1.5,8,0.14735142389933267,0.0011848019437981983,support
