stage,batch_size,learning_rate,seed,epochs,best_fidelity,best_epoch,final_fidelity,final_kl
stage2_refine,256,0.094868329805,11,60,0.8632883043890915,3,0.1461496144074837,4.222319751265876
stage2_refine,256,0.094868329805,17,60,0.5119505079450202,5,0.15410245284554144,1.6299380814795896
stage2_refine,256,0.094868329805,23,60,0.8733909000413935,3,0.15110671751312577,2.6418548860507847
stage2_refine,512,0.00316227766,11,60,0.33483850299253237,60,0.33483850299253237,0.3820936549227496
stage2_refine,512,0.00316227766,17,60,0.25795944927288245,60,0.25795944927288245,0.375257004408046
stage2_refine,512,0.00316227766,23,60,0.020781921480278832,1,0.006309683501701868,0.40675273071229723
stage2_refine,512,0.009486832981,11,60,0.6011841501958095,60,0.6011841501958095,0.4376141161846291
stage2_refine,512,0.009486832981,17,60,0.8939149438501588,47,0.6303611785485247,0.6817404026502505
stage2_refine,512,0.009486832981,23,60,0.5353942009772809,60,0.5353942009772809,0.45690478710191534
stage2_refine,512,0.01,11,60,0.6033395158663593,58,0.5993063267249288,0.46905752447869536
stage2_refine,512,0.01,17,60,0.8973337743390684,45,0.6412036529190225,0.6503653107405556
stage2_refine,512,0.01,23,60,0.6265432619832415,60,0.6265432619832415,0.4378386596363706
stage2_refine,512,0.03,11,60,0.6297493130259165,24,0.186361230820829,3.302738776639367
stage2_refine,512,0.03,17,60,0.8825545411496059,19,0.25679113741479326,1.4475642383867267
stage2_refine,512,0.03,23,60,0.8888778684117618,16,0.4271058688999916,1.2211912993628042
stage2_refine,512,0.031622776602,11,60,0.6652971411067178,30,0.2638472512733792,1.4093522759098465
stage2_refine,512,0.031622776602,17,60,0.8823528759081062,19,0.22755923354932764,3.475227030528447
stage2_refine,512,0.031622776602,23,60,0.8979615213618374,15,0.4838214658336425,0.9580889032999481
stage2_refine,512,0.094868329805,11,60,0.8850397921109305,6,0.6029334088336571,1.011726956114119
stage2_refine,512,0.094868329805,17,60,0.8726785524812609,6,0.311212752759913,2.026471945462044
stage2_refine,512,0.094868329805,23,60,0.919005937057117,7,0.46008045703448,1.5946857108297383
